,ID,State,Name,County,Lat,Lon,Combust,Fuel,FuelCat,Capacity,HeatInput,NetGen,NOX,SO2,CO2,CoalGen,OilGen,GasGen,NuclearGen,HydroGen,BiomassGen,WindGen,SolarGen,GeoGen,OtherFossilGen,OtherGen,NonRenewGen,RenewGen,CombGen,NonCombGen,CoalPortion,CapFac,SO2OutRate,CO2OutRate,NOXOutRate,NOXInRate,CO2InRate,SO2InRate
35,36,AK,Healy,Denali,63.8542,-148.95,1.0,WC,COAL,30.8,1910762.8,189785.0,241.89,255.46,202185.8,189476.7,308.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189785.0,0.0,189785.0,0.0,0.9983755302052323,0.7034076083733618,0.0013460494770398082,1.0653413072687514,0.0012745475142924888,0.00012659342122423568,0.10581418059844999,0.00013369529697773057
36,37,AK,Hoonah,Sitka,58.1833,-135.7433,1.0,DFO,OIL,2.4,45712.0,4562.0,55.72,1.85,3739.8,0.0,4562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.0,0.0,4562.0,0.0,0.0,0.21699010654490106,0.0004055238930293731,0.8197720298114862,0.012213941253836036,0.00121893594679734,0.08181221561078054,4.047077353867694e-05
37,38,AK,Hooper Bay,Bethel,61.5208,-166.1003,1.0,JF,OIL,1.6,25403.0,2607.0,30.97,0.0,2030.0,0.0,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607.0,0.0,2607.0,0.0,0.0,0.1860017123287671,0.0,0.7786728039892596,0.011879555044112006,0.001219147344801795,0.07991182143841279,0.0
38,39,AK,International,Anchorage,61.1703,-149.9103,1.0,NG,GAS,46.3,44550.0,1298.0,6.15,0.08,2606.4,0.0,0.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.0,0.0,1298.0,0.0,0.0,0.0032002919218517313,6.163328197226502e-05,2.0080123266563947,0.004738058551617874,0.00013804713804713807,0.058505050505050504,1.7957351290684624e-06
39,40,AK,Kake,Wrangell-Petersburg,56.1522,-133.1519,1.0,DFO,OIL,2.5,20332.0,2392.0,24.78,0.82,1663.4,0.0,2392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,0.0,2392.0,0.0,0.0,0.10922374429223744,0.000342809364548495,0.6954013377926421,0.010359531772575252,0.0012187684438323826,0.08181192209325203,4.033051347629352e-05
40,41,AK,Kasidaya Creek Hydro,Skagway-Hoonah-Angoon,59.4072,-135.3408,0.0,WAT,HYDRO,3.0,0.0,7266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266.0,0.0,7266.0,0.0,0.2764840182648402,0.0,0.0,0.0,,,
41,42,AK,Kasigluk,Bethel,60.8731,-162.5197,1.0,JF,OIL,1.6,19793.0,2181.0,24.13,0.0,1581.7,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2181.0,0.0,2181.0,0.0,0.0,0.15560787671232876,0.0,0.7252177900045851,0.011063732232920677,0.001219117869954024,0.07991209013287526,0.0
42,43,AK,Ketchikan,Ketchikan,55.3633,-131.6778,0.0,WAT,HYDRO,4.2,0.0,23338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23338.0,0.0,23338.0,0.0,0.6343226788432268,0.0,0.0,0.0,,,
43,44,AK,Kiana,Northwest Arctic,67.5683,-160.5053,1.0,JF,OIL,1.1,15274.0,1515.0,18.62,0.0,1220.6,0.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,0.0,1515.0,0.0,0.0,0.15722291407222913,0.0,0.8056765676567657,0.012290429042904292,0.0012190650779101743,0.07991357863035223,0.0
44,45,AK,King Cove,Aleutians East,55.7272,-160.7167,1.0,DFO,OIL,2.6,37461.0,4480.6,45.67,1.47,3064.8,0.0,4480.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4480.6,0.0,4480.6,0.0,0.0,0.19672462240955393,0.00032808106057224473,0.6840155336338883,0.010192831317234299,0.0012191345666159473,0.0818130856090334,3.924081044286057e-05
